section,group,time,note
main,PlayerBackstab,8.24,
main,PlayerBackstab,10.26,
main,PlayerBackstab,12.27,
main,PlayerBackstab,17,
main,PlayerBackstab,31.12,
main,PlayerBackstab,33.14,
main,PlayerBackstab,35.15,
main,PlayerBackstab,45.24,
main,PlayerBackstab,47.26,
main,PlayerBackstab,49.27,
main,PlayerBackstab,51.28,
main,PlayerBackstab,62.08,
main,PlayerBackstab,64.1,
main,PlayerBackstab,66.12,
main,PlayerBackstab,74.19,
main,PlayerBackstab,76.21,
main,PlayerBackstab,78.22,
main,PlayerBackstab,80.23,
main,PlayerBackstab,86.28,
main,PlayerBackstab,89,
main,PlayerBackstab,91.01,
main,PlayerBackstab,93.03,
main,PlayerBackstab,95.05,
main,PlayerBackstab,97.06,
main,PlayerBackstab,118.24,
main,PlayerBackstab,167.04,
main,PlayerBackstab,168.05,
chain,1,24.07,
chain,1,24.17,
chain,1,24.27,
chain,2,28.1,
chain,2,28.2,
chain,2,29,
chain,3,40.2,
chain,3,41,
chain,3,41.1,
chain,4,57.04,
chain,4,57.14,
chain,4,57.24,
chain,5,69.14,
chain,5,69.24,
chain,5,70.04,
chain,6,82.25,
chain,6,83.05,
chain,6,83.15,
chain,7,84.26,
chain,7,85.06,
chain,7,85.16,
chain,8,99.08,
chain,8,99.23,
chain,8,100.09,
chain,8,100.19,
chain,8,100.29,
chain,8,101.09,
chain,8,101.25,
chain,8,102.1,
chain,8,102.21,
chain,8,103.01,
chain,8,103.11,
chain,9,113.2,
chain,9,114,
chain,9,114.1,
chain,10,136.09,
chain,10,136.19,
chain,10,136.29,
chain,11,143.15,
chain,11,143.25,
chain,11,144.05,
chain,12,149.2,
chain,12,150,
chain,12,150.1,
chain,13,169.06,
chain,13,169.17,
chain,13,169.27,
chain,13,170.07,
